Dispatching_base_num,lpep_pickup_datetime,lpep_dropoff_datetime,PUlocationID,DOlocationID,SR_Flag
B02878,1/24/18 17:19,1/24/18 18:04,234,138,
B02878,1/24/18 17:18,1/24/18 18:12,138,265,
B02878,1/24/18 17:31,1/24/18 17:49,71,62,1
B02878,1/24/18 17:36,1/24/18 18:05,71,97,1
B02878,1/24/18 17:31,1/24/18 17:53,39,62,
B02878,1/24/18 17:28,1/24/18 17:33,188,71,
B02878,1/24/18 17:30,1/24/18 17:40,117,86,
B02878,1/24/18 17:46,1/24/18 17:53,86,117,
B02878,1/24/18 17:44,1/24/18 18:22,165,88,
B02878,1/24/18 17:34,1/24/18 17:43,89,133,
B02872,1/24/18 17:09,1/24/18 17:34,42,48,
B02880,1/24/18 17:59,1/24/18 18:14,39,76,
B02880,1/24/18 17:19,1/24/18 17:28,246,90,
B02880,1/24/18 17:03,1/24/18 17:13,56,192,
B02880,1/24/18 17:43,1/24/18 17:59,86,265,
B02880,1/24/18 17:13,1/24/18 17:23,75,238,
B02880,1/24/18 17:34,1/24/18 17:41,239,151,
B02880,1/24/18 17:43,1/24/18 18:15,24,229,
B02880,1/24/18 17:04,1/24/18 17:50,198,130,1
B02880,1/24/18 17:36,1/24/18 18:19,180,192,1
B02880,1/24/18 17:58,1/24/18 18:13,196,160,
B02878,1/24/18 17:44,1/24/18 17:57,246,48,1
B02872,1/24/18 17:52,1/24/18 18:14,174,47,
B02872,1/24/18 17:02,1/24/18 17:17,74,42,
B02872,1/24/18 17:20,1/24/18 17:40,42,7,
B02872,1/24/18 17:34,1/24/18 17:47,220,127,
B02872,1/24/18 17:48,1/24/18 18:12,127,167,
B02872,1/24/18 17:20,1/24/18 17:43,47,182,1
B02872,1/24/18 17:22,1/24/18 18:03,167,51,1
B02872,1/24/18 17:04,1/24/18 17:41,235,242,1
B02872,1/24/18 17:19,1/24/18 17:54,18,213,1
B02872,1/24/18 17:52,1/24/18 18:02,69,247,
B02872,1/24/18 17:13,1/24/18 17:46,169,182,1
B02880,1/24/18 17:44,1/24/18 18:37,138,265,
B02880,1/24/18 17:40,1/24/18 17:45,123,123,
B02880,1/24/18 17:49,1/24/18 18:39,123,77,1
B02880,1/24/18 17:56,1/24/18 18:02,123,149,1
B02880,1/24/18 17:22,1/24/18 17:28,186,249,
B02880,1/24/18 17:25,1/24/18 17:46,61,256,
B02880,1/24/18 17:52,1/24/18 18:06,217,80,
B02880,1/24/18 17:18,1/24/18 18:12,163,167,1
B02880,1/24/18 17:34,1/24/18 17:46,263,74,1
B02880,1/24/18 17:51,1/24/18 18:06,168,159,1
B02880,1/24/18 17:34,1/24/18 17:44,236,238,
B02872,1/24/18 17:16,1/24/18 17:35,247,78,1
B02872,1/24/18 17:48,1/24/18 18:11,182,247,
B02872,1/24/18 17:08,1/24/18 17:49,169,259,1
B02872,1/24/18 17:18,1/24/18 17:32,169,174,1
