VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
2,1/1/18 0:18,1/1/18 0:24,N,1,236,236,5,0.7,6,0.5,0.5,0,0,0.3,7.3,2
2,1/1/18 0:30,1/1/18 0:46,N,1,43,42,5,3.5,14.5,0.5,0.5,0,0,0.3,15.8,2
2,1/1/18 0:07,1/1/18 0:19,N,1,74,152,1,2.14,10,0.5,0.5,0,0,0.3,11.3,2
2,1/1/18 0:32,1/1/18 0:33,N,1,255,255,1,0.03,-3,-0.5,-0.5,0,0,-0.3,-4.3,3
2,1/1/18 0:32,1/1/18 0:33,N,1,255,255,1,0.03,3,0.5,0.5,0,0,0.3,4.3,2
2,1/1/18 0:38,1/1/18 1:08,N,1,255,161,1,5.63,21,0.5,0.5,0,0,0.3,22.3,2
2,1/1/18 0:18,1/1/18 0:28,N,1,189,65,5,1.71,8.5,0.5,0.5,0,0,0.3,9.8,2
2,1/1/18 0:38,1/1/18 0:55,N,1,189,225,5,3.45,14.5,0.5,0.5,3.16,0,0.3,18.96,1
2,1/1/18 0:05,1/1/18 0:18,N,1,129,82,1,1.61,10,0.5,0.5,0,0,0.3,11.3,2
2,1/1/18 0:35,1/1/18 0:42,N,1,226,7,1,1.87,7.5,0.5,0.5,0,0,0.3,8.8,2
2,1/1/18 0:21,1/1/18 0:39,N,1,145,129,2,4.12,16.5,0.5,0.5,0,0,0.3,17.8,2
2,1/1/18 0:56,1/1/18 1:04,N,1,7,223,2,1.22,7,0.5,0.5,0,0,0.3,8.3,2
2,1/1/18 0:11,1/1/18 0:30,N,1,255,189,1,4.67,17,0.5,0.5,0,0,0.3,18.3,2
2,1/1/18 0:57,1/1/18 1:12,N,1,97,188,1,2.71,11.5,0.5,0.5,3.84,0,0.3,16.64,1
2,1/1/18 0:36,1/1/18 0:51,N,1,244,75,2,6.01,19,0.5,0.5,4,0,0.3,24.3,1
1,1/1/18 0:07,1/1/18 0:15,N,1,225,37,1,1.9,8,0.5,0.5,3,0,0.3,12.3,1
1,1/1/18 0:25,1/1/18 0:42,N,1,36,145,2,4.3,15.5,0.5,0.5,3.35,0,0.3,20.15,1
1,1/1/18 0:42,1/1/18 1:00,N,1,145,173,1,6.9,22,0.5,0.5,0,0,0.3,23.3,1
2,1/1/18 0:06,1/1/18 0:08,N,1,49,49,1,0.3,3.5,0.5,0.5,0,0,0.3,4.8,2
2,1/1/18 0:34,1/1/18 0:52,N,1,40,113,1,4.47,16.5,0.5,0.5,3.56,0,0.3,23.31,1
1,1/1/18 0:25,1/1/18 0:28,N,1,179,7,1,0.5,4.5,0.5,0.5,0,0,0.3,5.8,1
2,1/1/18 0:36,1/1/18 0:51,N,1,7,193,1,1.82,9,0.5,0.5,0,0,0.3,10.3,1
2,1/1/18 0:53,1/1/18 1:26,N,1,97,74,1,11.79,36,0.5,0.5,7.46,0,0.3,46.71,1
1,1/1/18 0:11,1/1/18 0:22,N,1,255,112,1,1.9,9,0.5,0.5,3.05,0,0.3,13.35,1
1,1/1/18 0:40,1/1/18 1:01,N,1,255,28,1,10.3,29,0.5,0.5,5,0,0.3,35.3,1
2,1/1/18 0:15,1/1/18 0:25,N,1,80,80,1,1.66,8.5,0.5,0.5,1.96,0,0.3,11.76,1
2,1/1/18 0:35,1/1/18 0:48,N,1,255,232,1,2.91,12,0.5,0.5,3.32,0,0.3,16.62,1
2,1/1/18 0:55,1/1/18 1:28,N,1,256,50,1,6.09,25,0.5,0.5,6.58,0,0.3,32.88,1
2,1/1/18 0:41,1/1/18 0:56,N,1,179,75,5,5.3,17,0.5,0.5,3.66,0,0.3,21.96,1
2,1/1/18 0:36,1/1/18 0:44,N,1,41,75,1,1.63,8,0.5,0.5,1.86,0,0.3,11.16,1
2,1/1/18 0:48,1/1/18 0:51,N,1,75,74,1,0.91,4.5,0.5,0.5,0,0,0.3,5.8,2
2,1/1/18 0:56,1/1/18 1:00,N,1,74,74,2,0.92,5,0.5,0.5,0,0,0.3,6.3,1
2,1/1/18 0:27,1/1/18 0:34,N,1,7,223,1,0.98,6,0.5,0.5,0,0,0.3,7.3,2
2,1/1/18 0:41,1/1/18 0:52,N,1,179,7,1,1.42,9,0.5,0.5,0,0,0.3,10.3,2
2,1/1/18 0:48,1/1/18 0:53,N,1,254,254,1,0.42,5,0.5,0.5,0,0,0.3,6.3,1
