VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
1,1/1/18 0:21,1/1/18 0:24,N,1,41,24,1,0.5,4.5,0.5,0.5,0,0,0.3,5.8,2
1,1/1/18 0:44,1/1/18 1:03,N,1,239,140,1,2.7,14,0.5,0.5,0,0,0.3,15.3,2
1,1/1/18 0:08,1/1/18 0:14,N,1,262,141,2,0.8,6,0.5,0.5,1,0,0.3,8.3,1
1,1/1/18 0:20,1/1/18 0:52,N,1,140,257,1,10.2,33.5,0.5,0.5,0,0,0.3,34.8,2
1,1/1/18 0:09,1/1/18 0:27,N,1,246,239,2,2.5,12.5,0.5,0.5,2.75,0,0.3,16.55,1
1,1/1/18 0:29,1/1/18 0:32,N,1,143,143,3,0.5,4.5,0.5,0.5,0,0,0.3,5.8,2
1,1/1/18 0:38,1/1/18 0:48,N,1,50,239,2,1.7,9,0.5,0.5,2.05,0,0.3,12.35,1
1,1/1/18 0:49,1/1/18 0:51,N,1,239,238,1,0.7,4,0.5,0.5,1,0,0.3,6.3,1
1,1/1/18 0:56,1/1/18 1:01,N,1,238,24,1,1,5.5,0.5,0.5,1.7,0,0.3,8.5,1
1,1/1/18 0:17,1/1/18 0:22,N,1,170,170,1,0.7,5.5,0.5,0.5,0,0,0.3,6.8,2
1,1/1/18 0:41,1/1/18 0:46,N,1,162,229,1,0.6,5.5,0.5,0.5,1.35,0,0.3,8.15,1
1,1/1/18 0:52,1/1/18 1:17,N,1,141,113,1,3.5,16.5,0.5,0.5,0,0,0.3,17.8,2
2,1/1/18 0:17,1/1/18 0:22,N,1,137,224,1,1.04,5.5,0.5,0.5,0,0,0.3,6.8,2
2,1/1/18 0:24,1/1/18 0:34,N,1,224,79,1,1.22,7.5,0.5,0.5,0,0,0.3,8.8,2
2,1/1/18 0:37,1/1/18 0:53,N,1,234,100,1,1.92,10,0.5,0.5,0,0,0.3,11.3,2
1,1/1/18 0:35,1/1/18 0:52,N,1,13,189,1,5.7,19,0.5,0.5,4.05,0,0.3,24.35,1
2,1/1/18 0:30,1/1/18 1:13,N,1,48,236,1,3.74,25.5,0.5,0.5,6.7,0,0.3,33.5,1
1,1/1/18 0:21,1/1/18 0:25,N,1,163,162,2,0.6,4.5,0.5,0.5,1.7,0,0.3,7.5,1
1,1/1/18 0:31,1/1/18 1:07,N,1,229,61,1,10.9,35,0.5,0.5,0,0,0.3,36.3,2
2,1/1/18 0:15,1/1/18 0:21,N,1,236,75,5,1.22,6,0.5,0.5,0,0,0.3,7.3,2
2,1/1/18 0:25,1/1/18 0:45,N,1,263,143,5,3.13,13,0.5,0.5,0,0,0.3,14.3,2
2,1/1/18 0:51,1/1/18 1:04,N,1,239,24,5,2.22,9.5,0.5,0.5,0,0,0.3,10.8,2
2,1/1/18 0:09,1/1/18 0:30,N,1,90,233,1,2.93,14.5,0.5,0.5,2,0,0.3,17.8,1
